occurrence_id,classification,present_stowed,present_deployed,same_part_number,stable_part_definition_match,parent_assembly_path_match,part_occurrence_quantity_match,state_membership_match,stowed_transform_authority_max_error,deployed_transform_authority_max_error,state_transform_max_abs_delta,transform_authority_match,fixed_transform_stable,transform_state_behavior,transform_error,stowed_solid_count,deployed_solid_count,stowed_face_count,deployed_face_count,volume_delta_mm3,stowed_local_brep_sha256,deployed_local_brep_sha256,local_bbox_max_abs_delta_mm,surface_type_counts_match,serialized_local_brep_match,exact_common_status,exact_common_volume_mm3,stowed_minus_common_mm3,deployed_minus_common_mm3,exact_common_volume_tolerance_mm3,exact_common_full_volume_equivalent,exact_geometry_equivalent,geometry_equivalence_basis,exact_common_error,fingerprint_error,flexible_state_geometry_exception,status
BOOSTER-AFT-CLOSURE-3,FIXED,True,True,True,True,True,True,True,4.417621069237666e-28,4.417621069237666e-28,0.0,True,True,FIXED_UNCHANGED,,1,1,5,5,0.0,9b4644d0a1b714abfd8ace86525256943f784381834f65e0db4ba42491293a2b,9b4644d0a1b714abfd8ace86525256943f784381834f65e0db4ba42491293a2b,0.0,True,True,,,,,,False,True,SERIALIZED_LOCAL_BREP_SHA256,,,False,PASS
BOOSTER-BAND-1-1,FIXED,True,True,True,True,True,True,True,1.9001467066459554e-13,1.9001467066459554e-13,0.0,True,True,FIXED_UNCHANGED,,1,1,23,23,0.0,4132341767af324eec79886eafbe365d61b85e747eaa86f359542a4830b125f5,4132341767af324eec79886eafbe365d61b85e747eaa86f359542a4830b125f5,0.0,True,True,,,,,,False,True,SERIALIZED_LOCAL_BREP_SHA256,,,False,PASS
BOOSTER-BAND-1-2,FIXED,True,True,True,True,True,True,True,1.9001467066459554e-13,1.9001467066459554e-13,0.0,True,True,FIXED_UNCHANGED,,1,1,23,23,0.0,4132341767af324eec79886eafbe365d61b85e747eaa86f359542a4830b125f5,4132341767af324eec79886eafbe365d61b85e747eaa86f359542a4830b125f5,0.0,True,True,,,,,,False,True,SERIALIZED_LOCAL_BREP_SHA256,,,False,PASS
BOOSTER-BAND-1-3,FIXED,True,True,True,True,True,True,True,1.9001467066459554e-13,1.9001467066459554e-13,0.0,True,True,FIXED_UNCHANGED,,1,1,23,23,0.0,4132341767af324eec79886eafbe365d61b85e747eaa86f359542a4830b125f5,4132341767af324eec79886eafbe365d61b85e747eaa86f359542a4830b125f5,0.0,True,True,,,,,,False,True,SERIALIZED_LOCAL_BREP_SHA256,,,False,PASS
BOOSTER-BAND-2-1,FIXED,True,True,True,True,True,True,True,2.142286348316702e-12,2.142286348316702e-12,0.0,True,True,FIXED_UNCHANGED,,1,1,23,23,0.0,4132341767af324eec79886eafbe365d61b85e747eaa86f359542a4830b125f5,4132341767af324eec79886eafbe365d61b85e747eaa86f359542a4830b125f5,0.0,True,True,,,,,,False,True,SERIALIZED_LOCAL_BREP_SHA256,,,False,PASS
BOOSTER-BAND-2-2,FIXED,True,True,True,True,True,True,True,2.142286348316702e-12,2.142286348316702e-12,0.0,True,True,FIXED_UNCHANGED,,1,1,23,23,0.0,4132341767af324eec79886eafbe365d61b85e747eaa86f359542a4830b125f5,4132341767af324eec79886eafbe365d61b85e747eaa86f359542a4830b125f5,0.0,True,True,,,,,,False,True,SERIALIZED_LOCAL_BREP_SHA256,,,False,PASS
BOOSTER-BAND-2-3,FIXED,True,True,True,True,True,True,True,2.142286348316702e-12,2.142286348316702e-12,0.0,True,True,FIXED_UNCHANGED,,1,1,23,23,0.0,4132341767af324eec79886eafbe365d61b85e747eaa86f359542a4830b125f5,4132341767af324eec79886eafbe365d61b85e747eaa86f359542a4830b125f5,0.0,True,True,,,,,,False,True,SERIALIZED_LOCAL_BREP_SHA256,,,False,PASS
BOOSTER-BAND-3-1,FIXED,True,True,True,True,True,True,True,4.382122328502721e-28,4.382122328502721e-28,0.0,True,True,FIXED_UNCHANGED,,1,1,23,23,0.0,4132341767af324eec79886eafbe365d61b85e747eaa86f359542a4830b125f5,4132341767af324eec79886eafbe365d61b85e747eaa86f359542a4830b125f5,0.0,True,True,,,,,,False,True,SERIALIZED_LOCAL_BREP_SHA256,,,False,PASS
BOOSTER-BAND-3-2,FIXED,True,True,True,True,True,True,True,4.382122328502721e-28,4.382122328502721e-28,0.0,True,True,FIXED_UNCHANGED,,1,1,23,23,0.0,4132341767af324eec79886eafbe365d61b85e747eaa86f359542a4830b125f5,4132341767af324eec79886eafbe365d61b85e747eaa86f359542a4830b125f5,0.0,True,True,,,,,,False,True,SERIALIZED_LOCAL_BREP_SHA256,,,False,PASS
BOOSTER-BAND-3-3,FIXED,True,True,True,True,True,True,True,4.382122328502721e-28,4.382122328502721e-28,0.0,True,True,FIXED_UNCHANGED,,1,1,23,23,0.0,4132341767af324eec79886eafbe365d61b85e747eaa86f359542a4830b125f5,4132341767af324eec79886eafbe365d61b85e747eaa86f359542a4830b125f5,0.0,True,True,,,,,,False,True,SERIALIZED_LOCAL_BREP_SHA256,,,False,PASS
