install_path,name,version,package_json_sha256
https,https,1.0.0,30cc493ed51f008e9e1d0d0730759183294f9d1b39798032ee341dc6a17399f7
@oai/artifact-tool/node_modules/https-proxy-agent,https-proxy-agent,7.0.6,b08c1977d38f14f4be7fb5be33aab545e3e5a6e2e12100733a6ad97dec995206
idb-keyval,idb-keyval,6.3.0,28c6f3816282c710a8f67021422939cbff9a440ebadd67f083292da6edaf6648
image-size,image-size,1.2.1,05e7924fb82f9c46eea0dc96e497e75e63f6de4c34a88ae3d9387085d312d573
immediate,immediate,3.0.6,1e40d711ce5348d237f7a2093d1707ca7c34fc56369f6be10c8e2dc9bcae0a96
inherits,inherits,2.0.4,be645800bc94fd8de29c8ae91690549b316cc437100108aeea7b2f347693cc80
is-url,is-url,1.2.4,215ed6a491b1ac845b556de17f46075897e084c7c9f6018bde7150017da34817
isarray,isarray,1.0.0,93165ce56e458216c18240cd961a522af5b18e51da06f55d88ac552234455d95
pnpm/artifacts/exe/dist/node_modules/isexe,isexe,4.0.0,1889746f84d1e2a524353a2e31464995b808f24457f0dd55d6fd9da638f978ed
pnpm/dist/node_modules/isexe,isexe,4.0.0,1889746f84d1e2a524353a2e31464995b808f24457f0dd55d6fd9da638f978ed
jpeg-js,jpeg-js,0.4.4,8a0418edb81e7bdb69d1d78c4c1aeedeecc839deb58a8eeba6f25ae92ed14e62
jszip,jszip,3.10.1,83569b5b130b5ec27ae281ed80420ad364baf1bf64cb82e6ac8fb891e1b4ec4c
lie,lie,3.3.0,3faafb3b558146534b1849e6d2ed8a9c9c88eff27ef868827d8de17b979cf701
lucide,lucide,1.8.0,f113a3fe562deecda04f56efdac0697f552ee91f4f80617e208ca8952073293d
marked,marked,17.0.5,b0f610de98f9df7f779bc101af02209f20939dd232dc47af59d3df3162a04fc5
minimalistic-assert,minimalistic-assert,1.0.1,9a8e71d52eadcfae410d56953bf873e4089903001c872f964fc529fe906b8335
pnpm/artifacts/exe/dist/node_modules/minipass,minipass,7.1.3,b8ab116187d5e9375d494f17437eb862cbee4b329c21f15412c6a5170ec2f55c
pnpm/dist/node_modules/minipass,minipass,7.1.3,b8ab116187d5e9375d494f17437eb862cbee4b329c21f15412c6a5170ec2f55c
pnpm/artifacts/exe/dist/node_modules/minizlib,minizlib,3.1.0,3e3b206f94f3bd444f18fed847d8caeacb84925c628ae3d87805bc1dd6c4c470
pnpm/dist/node_modules/minizlib,minizlib,3.1.0,3e3b206f94f3bd444f18fed847d8caeacb84925c628ae3d87805bc1dd6c4c470
@oai/artifact-tool/node_modules/ms,ms,2.1.3,1a6b4d9739790c0b94ab96c8cc0507e281c164c311ff4fbf5e57fb8d26290b40
nanoid,nanoid,5.1.16,07ac373149102d5a442db2aa0fef31c53ef5652e718fb96752000e6d99328dc4
node-fetch,node-fetch,2.7.0,000a0b3b037d4e3e211e7b7ca559a5a62a39b96ca2c6bcdaed3aba0a545eedba
pnpm/artifacts/exe/dist/node_modules/node-gyp,node-gyp,12.4.0,be870d036a73791dab2e00cdfad8090548ef20c5490846641e3d7899261dc901
pnpm/dist/node_modules/node-gyp,node-gyp,12.4.0,be870d036a73791dab2e00cdfad8090548ef20c5490846641e3d7899261dc901
node-readable-to-web-readable-stream,node-readable-to-web-readable-stream,0.4.2,b0a32ebb9902d8b77632bd705e3cbb83b9ca19c356e1482bc40020c56d92639e
pnpm/artifacts/exe/dist/node_modules/nopt,nopt,9.0.0,9e9aa0342cc3232da295048d60276edff062faf18b317b600c6ccb6bfc0d212f
pnpm/dist/node_modules/nopt,nopt,9.0.0,9e9aa0342cc3232da295048d60276edff062faf18b317b600c6ccb6bfc0d212f
opencollective-postinstall,opencollective-postinstall,2.0.3,8e0dab770014766c637d3f7679bdb6837b313b8d9847d0e36936250120cfbc52
pako,pako,1.0.11,0014f350a6834ed6a2d1211e0a2e3aa471cb426edf63379c785f9647ea2b4e01
@oai/artifact-tool/node_modules/parenthesis,parenthesis,3.1.8,a524e1ab08dca8bd262772bc6c39171a14d3656a5abc8fb81e3bbebaa8907f6b
pdf-lib,pdf-lib,1.17.1,951726fe11b7376919050c18d2cd9237d6e211d7ee0b01104990cb95105fe182
pdfjs-dist,pdfjs-dist,5.6.205,c91f1f1071e5535e5161f2fff925917550f4f0d2463a52ec94be24bd00b55971
pnpm/artifacts/exe/dist/node_modules/picomatch,picomatch,4.0.5,fb7766f5f9c724e13e075760a95d16f87cdb327143d153a913135fde267ec615
pnpm/dist/node_modules/picomatch,picomatch,4.0.5,fb7766f5f9c724e13e075760a95d16f87cdb327143d153a913135fde267ec615
pixelmatch,pixelmatch,7.2.0,eefd9c7ab4ddeb9ec41c14e0ba8f1e672727f8ff547aa016103c633b243e0a50
playwright,playwright,1.62.1,ca170ec143a88ed3043ac953eb3b2377b2b97304104f4e1e23316684ce2c35af
playwright-core,playwright-core,1.62.1,07c47543631fef9508760365dee9fbe958c562093ec8d122543949ed231f233f
pngjs,pngjs,7.0.0,85b17f2f852aece03e71edb4ed4d9fddf6a0a8f0b69ac75d7f00b6592d62d37c
pnpm,pnpm,11.19.0,862525b82c79860ed1a196dd2e08d1543a444fc9118474a5c4f581644290d892
pptxgenjs,pptxgenjs,4.0.1,a4fc694898ef6f7da4c5840b799b593a0a74e9e05b7490b2ac5ee144762db477
pnpm/artifacts/exe/dist/node_modules/proc-log,proc-log,6.1.0,5da081088a404333c924e99523d09d00d90f0e2c2bff011bc14f8899dff8897d
