arm_angle_deg,bell_r_mm,bell_z_mm,crosshead_z_mm,crosshead_travel_mm,closure_residual_mm,sample_index,active_dynamic_occurrences,broadphase_candidates,unauthorized_positive_volume_pairs,documented_positive_volume_pairs,boolean_blocked_pairs,distance_blocked_pairs
0.0,24.0,489.0,508.0263632888684,0.0,3.552713678800501e-15,1,61,364,0,15,0,0
20.0,26.71633701464647,486.40511272711916,504.350250482152,3.6761128067164464,1.0658141036401503e-14,21,61,388,0,15,0,0
40.0,28.381355145892723,483.0376743299516,500.07381137256914,7.952551916299285,-1.7763568394002505e-14,41,61,399,0,15,0,0
55.0,28.8138270167072,480.2472756614255,497.0122285469165,11.01413474195192,1.4210854715202004e-14,56,61,423,0,15,0,0
80.0,27.905158843111458,475.65398708092914,492.9713289177334,15.055034371135037,-3.552713678800501e-15,81,61,412,1,15,0,0
