sample_index,angle_deg,occurrence_a,solid_index_a,variant_a,part_number_a,occurrence_b,solid_index_b,variant_b,part_number_b,aabb_overlap,aabb_gap_mm,exact_common_status,common_volume_mm3,documented_positive_volume_exception,intentional_fit_exception_id,exact_distance_status,exact_clearance_mm,result,error
21,20,ARM-2,1,STOWED,DF8-R2-ARM-BLADE-001,ARM-STOP-SCREW-2-1,1,STOWED,SSCA-M3-8-A4-BL,True,0.0,DONE,6.479534848029259,True,FIT-THREAD-ARM-STOP-2-1,ZERO_BY_POSITIVE_COMMON,0.0,DOCUMENTED_POSITIVE_VOLUME,
21,20,ARM-2,1,STOWED,DF8-R2-ARM-BLADE-001,ARM-STOP-SCREW-2-2,1,STOWED,SSCA-M3-8-A4-BL,True,0.0,DONE,6.401840877377106,True,FIT-THREAD-ARM-STOP-2-2,ZERO_BY_POSITIVE_COMMON,0.0,DOCUMENTED_POSITIVE_VOLUME,
21,20,ARM-3,1,STOWED,DF8-R2-ARM-BLADE-001,ARM-STOP-SCREW-3-1,1,STOWED,SSCA-M3-8-A4-BL,True,0.0,DONE,6.479534848025595,True,FIT-THREAD-ARM-STOP-3-1,ZERO_BY_POSITIVE_COMMON,0.0,DOCUMENTED_POSITIVE_VOLUME,
21,20,ARM-3,1,STOWED,DF8-R2-ARM-BLADE-001,ARM-STOP-SCREW-3-2,1,STOWED,SSCA-M3-8-A4-BL,True,0.0,DONE,6.401840877341224,True,FIT-THREAD-ARM-STOP-3-2,ZERO_BY_POSITIVE_COMMON,0.0,DOCUMENTED_POSITIVE_VOLUME,
21,20,BACKUP-SPRING-001,1,EXACT_KINEMATIC_20,DF8-R2-BACKUP-SPRING-16N-001,BOOSTER-COLLECTION-LINE-3,1,STOWED,DF8-R2-BOOSTER-COLLECTION-LINE-001,True,0.0,DONE,100.78110524809328,False,,ZERO_BY_POSITIVE_COMMON,0.0,UNAUTHORIZED_POSITIVE_VOLUME,
21,20,BACKUP-SPRING-MOVING-SEAT,1,STOWED,DF8-R2-BACKUP-SPRING-MOVING-SEAT-001,BOOSTER-COLLECTION-LINE-3,1,STOWED,DF8-R2-BOOSTER-COLLECTION-LINE-001,True,0.0,DONE,9.071348787240332,False,,ZERO_BY_POSITIVE_COMMON,0.0,UNAUTHORIZED_POSITIVE_VOLUME,
21,20,BOOSTER-1,1,STOWED,DF8-R2-BOOSTER-RESERVOIR-001,FULLFLOW-VALVE-CIRCLIP-001,1,STOWED,HEC-10-A4,True,0.0,DONE,3.57968577120716,False,,ZERO_BY_POSITIVE_COMMON,0.0,UNAUTHORIZED_POSITIVE_VOLUME,
21,20,BOOSTER-1,1,STOWED,DF8-R2-BOOSTER-RESERVOIR-001,STOW-DOG-1,1,STOWED,DF8-R2-STOW-DOG-001,True,0.0,DONE,20.98291944428241,False,,ZERO_BY_POSITIVE_COMMON,0.0,UNAUTHORIZED_POSITIVE_VOLUME,
21,20,BOOSTER-1,1,STOWED,DF8-R2-BOOSTER-RESERVOIR-001,STOW-DOG-INHIBIT-KEEPER-1,1,STOWED,DF8-R2-STOW-DOG-INHIBIT-KEEPER-001,True,0.0,DONE,0.09889784985933729,False,,ZERO_BY_POSITIVE_COMMON,0.0,UNAUTHORIZED_POSITIVE_VOLUME,
21,20,BOOSTER-1,1,STOWED,DF8-R2-BOOSTER-RESERVOIR-001,STOW-DOG-INHIBIT-PIN-1,1,STOWED,DF8-R2-STOW-DOG-INHIBIT-PIN-001,True,0.0,DONE,2.3905962236866913,False,,ZERO_BY_POSITIVE_COMMON,0.0,UNAUTHORIZED_POSITIVE_VOLUME,
21,20,BOOSTER-1,1,STOWED,DF8-R2-BOOSTER-RESERVOIR-001,STOW-DOG-SPRING-1,1,DEPLOYED,DF8-R2-STOW-DOG-RETURN-SPRING-001,True,0.0,DONE,0.002225764762253373,False,,ZERO_BY_POSITIVE_COMMON,0.0,UNAUTHORIZED_POSITIVE_VOLUME,
