audit_elapsed_seconds,broad_phase_solid_candidates,classification,exact_common_volume_mm3,name_a,name_b,occurrence_a,occurrence_b,state,status
0.002030,1,NO_POSITIVE_COMMON_VOLUME,0.000000000,LINK_2,VSM6_RETENTION_RING_SET,WP02-005,WP02-012,DEPLOYED,PASS
0.002063,1,NO_POSITIVE_COMMON_VOLUME,0.000000000,LINK_2,DEPLOYED_STOP_PAD_SET,WP02-005,WP02-029,DEPLOYED,PASS
0.005855,3,NO_POSITIVE_COMMON_VOLUME,0.000000000,LINK_2,POSITIVE_LOCK_HOUSING_SET,WP02-005,WP02-030,DEPLOYED,PASS
0.002913,2,NO_POSITIVE_COMMON_VOLUME,0.000000000,LINK_2,POSITIVE_LOCK_PLUNGER_AND_WITNESS_SET,WP02-005,WP02-031,DEPLOYED,PASS
0.009534,1,NO_POSITIVE_COMMON_VOLUME,0.000000000,ARM_3,LINK_3,WP02-003,WP02-006,DEPLOYED,PASS
0.011486,2,NO_POSITIVE_COMMON_VOLUME,0.000000000,ARM_3,PIVOT_BUSHING_SET,WP02-003,WP02-008,DEPLOYED,PASS
0.006997,1,NO_POSITIVE_COMMON_VOLUME,0.000000000,ARM_3,ARM_PIVOT_PIN_SET,WP02-003,WP02-009,DEPLOYED,PASS
0.009198,1,NO_POSITIVE_COMMON_VOLUME,0.000000000,ARM_3,ARM_LINK_PIN_SET,WP02-003,WP02-010,DEPLOYED,PASS
0.012644,2,NO_POSITIVE_COMMON_VOLUME,0.000000000,ARM_3,VSM6_RETENTION_RING_SET,WP02-003,WP02-012,DEPLOYED,PASS
0.017576,3,NO_POSITIVE_COMMON_VOLUME,0.000000000,ARM_3,POSITIVE_LOCK_HOUSING_SET,WP02-003,WP02-030,DEPLOYED,PASS
0.013411,2,NO_POSITIVE_COMMON_VOLUME,0.000000000,ARM_3,POSITIVE_LOCK_PLUNGER_AND_WITNESS_SET,WP02-003,WP02-031,DEPLOYED,PASS
0.009401,2,NO_POSITIVE_COMMON_VOLUME,0.000000000,LINK_3,COMMON_CROSSHEAD,WP02-006,WP02-007,DEPLOYED,PASS
0.001662,1,NO_POSITIVE_COMMON_VOLUME,0.000000000,LINK_3,ARM_PIVOT_PIN_SET,WP02-006,WP02-009,DEPLOYED,PASS
0.002420,1,NO_POSITIVE_COMMON_VOLUME,0.000000000,LINK_3,ARM_LINK_PIN_SET,WP02-006,WP02-010,DEPLOYED,PASS
0.002493,1,NO_POSITIVE_COMMON_VOLUME,0.000000000,LINK_3,CROSSHEAD_LINK_PIN_SET,WP02-006,WP02-011,DEPLOYED,PASS
0.001468,1,NO_POSITIVE_COMMON_VOLUME,0.000000000,LINK_3,VSM6_RETENTION_RING_SET,WP02-006,WP02-012,DEPLOYED,PASS
0.001524,1,NO_POSITIVE_COMMON_VOLUME,0.000000000,LINK_3,DEPLOYED_STOP_PAD_SET,WP02-006,WP02-029,DEPLOYED,PASS
0.012518,3,NO_POSITIVE_COMMON_VOLUME,0.000000000,LINK_3,POSITIVE_LOCK_HOUSING_SET,WP02-006,WP02-030,DEPLOYED,PASS
0.002758,2,NO_POSITIVE_COMMON_VOLUME,0.000000000,LINK_3,POSITIVE_LOCK_PLUNGER_AND_WITNESS_SET,WP02-006,WP02-031,DEPLOYED,PASS
0.021560,6,NO_POSITIVE_COMMON_VOLUME,0.000000000,COMMON_CROSSHEAD,CROSSHEAD_LINK_PIN_SET,WP02-007,WP02-011,DEPLOYED,PASS
0.007958,2,NO_POSITIVE_COMMON_VOLUME,0.000000000,COMMON_CROSSHEAD,VSM6_RETENTION_RING_SET,WP02-007,WP02-012,DEPLOYED,PASS
0.032672,3,NO_POSITIVE_COMMON_VOLUME,0.000000000,COMMON_CROSSHEAD,POWERTRAIN_CARTRIDGE_SPINE,WP02-007,WP02-013,DEPLOYED,PASS
0.028223,4,NO_POSITIVE_COMMON_VOLUME,0.000000000,COMMON_CROSSHEAD,CROSSHEAD_GUIDE_ROD_SET,WP02-007,WP02-014,DEPLOYED,PASS
0.031405,1,NO_POSITIVE_COMMON_VOLUME,0.000000000,COMMON_CROSSHEAD,GS19_MOVING_ADAPTER,WP02-007,WP02-018,DEPLOYED,PASS
0.003790,2,NO_POSITIVE_COMMON_VOLUME,0.000000000,COMMON_CROSSHEAD,HBD15_ROD_DRAWING_DERIVED,WP02-007,WP02-020,DEPLOYED,PASS
0.030925,9,NO_POSITIVE_COMMON_VOLUME,0.000000000,COMMON_CROSSHEAD,HBD_MOVING_LOST_MOTION_COUPLER,WP02-007,WP02-021,DEPLOYED,PASS
0.002088,1,NO_POSITIVE_COMMON_VOLUME,0.000000000,COMMON_CROSSHEAD,BACKUP_SPRING_GUIDE_PUSHROD,WP02-007,WP02-028,DEPLOYED,PASS
0.005069,1,NO_POSITIVE_COMMON_VOLUME,0.000000000,COMMON_CROSSHEAD,CROSSHEAD_SEAR,WP02-007,WP02-032,DEPLOYED,PASS
0.078982,6,NO_POSITIVE_COMMON_VOLUME,0.000000000,COMMON_CROSSHEAD,CROSSHEAD_SEAR_HOUSING,WP02-007,WP02-033,DEPLOYED,PASS
