AFT-LONGERON-1	FIXED	WP04-FOLLOWER-001=0.07260554943665141;WP04-REACTION-BULKHEAD=0.07260554943665141;AFT-ROUTE-RING-001=0.09999999999990905;BODY-HARDPOINT-001=0.10000000000013642;AFT-SHELL-001=1.4999999999999993;ROUTE-PILOT-LINE-001=1.6508301009671018
AFT-LONGERON-2	FIXED	WP04-FOLLOWER-001=0.07260554943665068;WP04-REACTION-BULKHEAD=0.07260554943665068;AFT-ROUTE-RING-001=0.09999999999990905;BODY-HARDPOINT-001=0.10000000000013642;AFT-SHELL-001=1.5;HARNESS-LEG-XN=2.199475541657808
AFT-LONGERON-3	FIXED	WP04-FOLLOWER-001=0.07260554943664889;WP04-REACTION-BULKHEAD=0.07260554943664889;AFT-ROUTE-RING-001=0.09999999999990905;BODY-HARDPOINT-001=0.10000000000013642;AFT-SHELL-001=1.4999999999999976;BUOY-GORE-07=3.7999999999999954
AFT-ROUTE-RING-001	FIXED	AFT-SHELL-001=0.0;ARM-LONGERON-1=0.0;ARM-LONGERON-2=0.0;ARM-LONGERON-3=0.0;FIXED-SECTOR-1=0.0;FIXED-SECTOR-2=0.0
AFT-SHELL-001	FIXED	AFT-ROUTE-RING-001=0.0;BODY-HARDPOINT-001=8.881784197001252E-16;AFT-LONGERON-3=1.4999999999999976;AFT-LONGERON-1=1.4999999999999993;AFT-LONGERON-2=1.5;BUOY-GORE-01=8.299999999999997
ARM-1	MOVING	LINK-CLIP-1-BELL=0.0;LINK-1-1=0.07678970849386778;LINK-1-2=0.07678970849386778;ARM-STOP-PAD-1=0.10000000000000142;CROSSHEAD-001=1.4000000000000021;GS19-BODY-001=4.837728370096668
ARM-2	MOVING	LINK-CLIP-2-BELL=0.0;LINK-PIN-2-BELL=0.0;LINK-2-1=0.07678970849386624;LINK-2-2=0.07678970849386624;ARM-STOP-PAD-2=0.09999999999999906;CROSSHEAD-001=1.3999999999999975
ARM-3	MOVING	LINK-CLIP-3-BELL=0.0;LINK-3-1=0.07678970849386624;LINK-3-2=0.07678970849386624;ARM-STOP-PAD-3=0.09999999999999906;CROSSHEAD-001=1.3999999999999984;FIXED-SECTOR-3=2.9492381104045817
ARM-LONGERON-1	FIXED	AFT-ROUTE-RING-001=0.0;FIXED-SECTOR-1=0.0;FWD-RING-02=0.0;GS19-BODY-001=5.0242958677880805E-15;GS19-FIXED-YOKE=2.064085880955661;GLAND-GAS-MAIN-AFT=2.723378956735541
ARM-LONGERON-2	FIXED	AFT-ROUTE-RING-001=0.0;FIXED-SECTOR-2=0.0;FWD-RING-02=0.0;HBD-BODY-001=1.0;HBD-FIXED-YOKE=1.0839670560568833;ROUTE-BOWDEN-SHEATH-001=3.9425492967567255
ARM-LONGERON-3	FIXED	AFT-ROUTE-RING-001=0.0;FIXED-SECTOR-3=0.0;FWD-RING-02=0.0;BACKUP-SPRING-FIXED-SEAT=2.4999999999999973;BACKUP-SPRING-MOVING-SEAT=2.4999999999999973;BACKUP-SPRING-001=3.099995207836468
